编号,名称,价格,描述
583,枫红溶剂,4250,每拥有1个青山火药，藏品速度提升2%基础速度；获得时：青山火药+3
589,强吸尘器,6500,进入新的层级时：传说之辉+1；进入新的层级时，若没有传说之辉：传说之辉额外+1
590,老旧条约,2250,获得时：以1:25将殿堂之辉转化为金币，以1:300的比例将传说之辉转化为金币
591,半挂鞭炮,3250,使用青山火药后：界世依花+1；使用界世依花后：气息+3
592,桃源卷轴,5250,面板攻击不会低于基础攻击的1.6倍，面板防御不会低于基础防御的1.6倍，面板速度不会低于基础速度的1.6倍
593,枫红断刃,4250,每拥有1个工业弹簧：藏品生命上限提升4%基础生命上限；获得时：工业弹簧+3
599,枯竭的蜡,5500,藏品攻击提升75%基础攻击；拾取血瓶后，上述效果降低1%，（每层至多触发75次）
600,石墨燃灰,5500,最终攻击提升X%面板攻击，最终防御提升X%面板防御，最终速度提升X%面板速度，（x为已损失生命百分比的0.1倍）
601,朽折枝干,4250,血瓶的效果×80%，所有敌人生命上限×80%
602,最后一杯,1750,获得时：基础生命上限提升7.4倍基础攻击，基础生命上限提升7.4倍基础防御
603,回光,4500,敌人通过近卫和坚固获得的额外面板数值不会高于其原本值的0.6倍；敌人通过借道获得的额外最终数值不会高于其面板值的0.5倍
609,枯死的树,3750,调语大于等于80时：防御术的消耗×65%（上限：减免4点）
610,热寂,1250,调语为50时：进入新层级与战斗不再消耗时间
611,北境坚冰,6250,调语在20-80之间时：攻防倍率提升x%，（x=30-当前调语与50作差的绝对值）
612,微曦之焓,6750,"血瓶的效果×115%，所有敌人生命上限×95%,所有敌人攻击×95%，所有敌人防御×95%,所有敌人速度×95%，受伤倍率-5%，最终攻击提升5%面板攻击，最终防御提升5%面板防御，最终速度提升5%面板速度"
613,风蚀磷灰石,3250,若敌人为骷髅：将其额外视为史莱姆，蝙蝠，守卫，士兵，机械，法师
619,迪莱伍德源质,2750,拾取宝石后：殿堂充能+4；拾取宝石后，若没有殿堂之辉：殿堂充能额外+6
620,熔化钢丝,4500,若破墙镐的数量为0：红宝石效果+3；若工业弹簧的数量为0：蓝宝石效果+3
621,荒草碎末,3500,进入新的层级时，若血量未满：本层速度倍率+15%
622,世末的挽歌,5250,每拥有3件收藏品：防御倍率+1%，生命上限倍率+1%
623,可视轮回,5750,重置能力时：基础生命上限提升5%临时生命上限，基础攻击提升5%临时攻击，基础防御提升5%临时防御，基础速度提升5%临时速度
629,锈工字钢,4750,殿堂之辉转化的速度+100%
630,固态还原剂,2500,若敌人为首领：本场战斗伤害倍率+50%；击杀敌人后：本层上述增益-2%，（每层至多触发50次）
631,优质机油,3250,攻击需要的行动点×75%；敌人攻击需要的行动点×80%
632,便携电解仪,1750,拾取宝石后：金币+2
633,丰饶之愿,6500,击杀首领后：本层护盾提升10%该首领面板生命
639,背水一战,3750,殿堂之辉的数量小于等于5个，使用殿堂之辉时：增加的能力×2
640,骨刺,2750,击杀骷髅后：本层速度倍率+1%，本层生命上限倍率-1%
641,市井边界,4750,防御+250%；击杀敌人后：上述增益-2%；击杀首领后：本层上述增益不再会因为击杀敌人降低
642,将死之域,5500,击杀100名敌人后：复制1号位的麻将到2号位
643,旧放射源,5250,战斗开始后：高于面板攻击的最终攻击×1.5，高于面板防御最终防御×1.5，高于面板速度的最终速度×1.5
649,银河星图,4250,水晶回复的气息+3；获得时：气息上限+30，收藏品“银河”将出现在本场探索途中
650,外域流质,5750,使用消耗品后：回复7%气息
651,“我们的时代”,3250,反击的伤害降低10%最终防御，魔攻的伤害降低10%最终防御
652,活血,2750,战斗开始时，若生命大于85%：最终防御×120%
653,翠竹酒盏,3750,拾取水晶后：气息上限+1
659,光风结界残片,4500,拾取12个宝石后：传说之辉的1个随机项目提升1个等级
660,背光之铸,4250,击杀敌人后，若气息大于2：消耗2气息，获得当前层数×2的金币，获得当前层数×2的充能
661,未竟之志,3250,藏品防御提升X%基础防御，（X为当前气息与气息上限的差值）
662,红色霓虹灯,2250,使用传说之辉后：不重置对应选项的等级，降低对应选项2个等级
663,蛇印火桶,5250,获得时：地质锤+15，青山火药+15
669,来日之雪,1500,调语大于50时：所有调语改变均为降低；调语小于50时：所有调语改变均为提升
670,霰雨黄铜,4250,以低价购买到高品阶的收藏品的概率大幅提升
671,六枚金币,4500,在夜间，若敌人是士兵或守卫：敌人掉落的金币×160%
672,往日残垣,4500,拾取红宝石时：有25%的概率再获得相当于一个同类型黄宝石的临时速度；若没有消耗品，上述概率提升至100%
673,天河日晷,6250,击杀首领后：损失一半生命值，基础攻击+X，基础防御+X，基础速度+X，（X为损失生命的0.75次方的0.01倍）
679,桶装工业酒精,4500,水晶每溢出15点回复量：防御倍率+2%
680,高通滤波,5250,调语大于等于50时：黄宝石的效果+2；调语小于等于50时：水晶回复的气息+7
681,“一切无界”,1750,连伤与死仇的效果至多叠加15层
682,微曦之印,5750,拾取29个宝石后：拾取的宝石改为提供基础属性；再拾取1个宝石后：移除上述增益效果
683,敬岁之辙,6250,进入新的层级时：殿堂之辉+X，传说之辉+Y，（X为上一层持有本藏品时使用的殿堂之辉数量的1/3），（Y为上一层持有本藏品时使用的传说之辉数量的1/3）
689,岁月余火,4500,进入新的层级时：重新选择季节
690,两万日夜,5250,基础生命上限大于20000时：攻击倍率+9%，防御倍率+9%，速度倍率+9%；基础生命上限高于20000的部分，每有2500点：攻击倍率+1%，防御倍率+1%，速度倍率+1%
691,光谱纯二氧化硅,4750,基础防御+10；每有一种消耗品的数量为0：基础防御额外+15
692,借给未来的雨,3500,获得时：失去25%的临时属性；进入2次新的层级后：将上述失去的属性变为基础属性返还（至多触发1次）
693,众生经纬,4500,地面上的麻将增加8种花牌
694,天界之盐,4500,临时生命上限不会再被重置
695,狂风草书,6250,使用字牌时：额外使用一次
696,相位余花,6500,若界世依花的数量为0：R键可以继续触发界世依花的传送效果，R键不会触发使用消耗品的任何效果
697,现界框架,3750,基础防御-2，藏品防御降低10%基础防御，防御倍率-10%，最终防御提升30%面板防御
698,虚无齑灰,4750,击杀敌人后，若战损为0：藏品攻击+1
699,消亡的频段,3250,获得时：基础攻击提升（100-调语）*0.18，基础速度提升（100-调语）*0.09
705,终焉电报机,5500,每有一种消耗品的数量为0：伤害倍率+18%
706,行尽之翼,4250,击杀3名蝙蝠后：临时速度+1，界世依花+1
707,旷日岩泉,3750,拾取水晶后：回复5%生命
708,北国砥石,5250,击杀80名敌人后：基础攻击+9；使用消耗品后：对上述效果视为击杀10名敌人
709,专业级铁盐锻炉,4750,获得时：基础攻击提升X，（X为基础防御的15%）
720,借来的岁月,3250,与战损超过生命的非首领敌人战斗时：不死亡且中断战斗，回复所有生命，（每局游戏限1次）
721,电解后的不死之药,5250,若面板速度低于X：将其视为X；若面板速度高于X：将X设为面板速度，（X初值为0）
722,骑士的遗骨,4750,进入新的层级时：攻击倍率+150%，防御倍率+50%，（不可叠加）；受到1200战损后：失去上述加成
723,生物质蓝色染料,3250,击杀史莱姆后：获得1个蓝宝石，1个蓝血瓶
724,外伤修复,4500,若战损在计算最终战损减免和护盾前低于面板生命上限的10%：最终战损×0.6
725,无名的盐料作物,3750,使用传说之辉后，若选择的项目等级小于2：使其他选项额外提升1个等级
726,失效的口口啦彻,3250,受到熔岩伤害后：下1场战斗敌人最终速度×85%（不可叠加）
727,“旅途的终点”,4250,所有敌人掉落金币×1.40，所有敌人掉落的充能*1.40；进入新的层级时：少生成一个普通房间
728,熔融的糖,6250,使用筒子牌时：额外使用一次
729,荒芜棱镜,2750,受到领域或激光伤害时：将伤害降低80%
